date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:25:51	121155/121155	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html	C:/My%20Web%20Sites/Naoual/kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html	(from )
23:25:51	70/70	---M--	200	added ('OK')	text/plain	date:Mon,%2014%20Feb%202022%2007:00:54%20GMT	https://kodesolution.com/robots.txt		(from )
23:25:51	638/638	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/images/favicon.png	C:/My%20Web%20Sites/Naoual/kodesolution.com/html/2017/seniorpress-html/demo/images/favicon.png	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
23:25:52	638/638	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/images/apple-touch-icon.png	C:/My%20Web%20Sites/Naoual/kodesolution.com/html/2017/seniorpress-html/demo/images/apple-touch-icon.png	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
23:25:52	1135/1135	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/images/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/Naoual/kodesolution.com/html/2017/seniorpress-html/demo/images/apple-touch-icon-72x72.png	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
23:25:52	1642/1642	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/images/apple-touch-icon-114x114.png	C:/My%20Web%20Sites/Naoual/kodesolution.com/html/2017/seniorpress-html/demo/images/apple-touch-icon-114x114.png	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
23:25:52	2016/2016	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/images/apple-touch-icon-144x144.png	C:/My%20Web%20Sites/Naoual/kodesolution.com/html/2017/seniorpress-html/demo/images/apple-touch-icon-144x144.png	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
23:25:53	121260/121260	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/css/bootstrap.min.css	C:/My%20Web%20Sites/Naoual/kodesolution.com/html/2017/seniorpress-html/demo/css/bootstrap.min.css	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
23:25:53	29273/29273	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/css/jquery-ui.min.css	C:/My%20Web%20Sites/Naoual/kodesolution.com/html/2017/seniorpress-html/demo/css/jquery-ui.min.css	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
23:25:53	84479/84479	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/css/animate.css	C:/My%20Web%20Sites/Naoual/kodesolution.com/html/2017/seniorpress-html/demo/css/animate.css	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
23:25:53	258661/258661	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/css/css-plugin-collections.css	C:/My%20Web%20Sites/Naoual/kodesolution.com/html/2017/seniorpress-html/demo/css/css-plugin-collections.css	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
23:25:54	2350/2350	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/css/menuzord-skins/menuzord-rounded-boxed.css	C:/My%20Web%20Sites/Naoual/kodesolution.com/html/2017/seniorpress-html/demo/css/menuzord-skins/menuzord-rounded-boxed.css	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
23:25:54	158171/158171	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/css/style-main.css	C:/My%20Web%20Sites/Naoual/kodesolution.com/html/2017/seniorpress-html/demo/css/style-main.css	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
23:25:54	60726/60726	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/css/preloader.css	C:/My%20Web%20Sites/Naoual/kodesolution.com/html/2017/seniorpress-html/demo/css/preloader.css	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
23:25:54	62858/62858	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/css/custom-bootstrap-margin-padding.css	C:/My%20Web%20Sites/Naoual/kodesolution.com/html/2017/seniorpress-html/demo/css/custom-bootstrap-margin-padding.css	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
23:25:54	4659/4659	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/css/responsive.css	C:/My%20Web%20Sites/Naoual/kodesolution.com/html/2017/seniorpress-html/demo/css/responsive.css	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
23:25:55	35463/35463	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/js/revolution-slider/css/settings.css	C:/My%20Web%20Sites/Naoual/kodesolution.com/html/2017/seniorpress-html/demo/js/revolution-slider/css/settings.css	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
23:25:55	115205/115205	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/js/revolution-slider/css/layers.css	C:/My%20Web%20Sites/Naoual/kodesolution.com/html/2017/seniorpress-html/demo/js/revolution-slider/css/layers.css	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
23:25:55	59567/59567	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/js/revolution-slider/css/navigation.css	C:/My%20Web%20Sites/Naoual/kodesolution.com/html/2017/seniorpress-html/demo/js/revolution-slider/css/navigation.css	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
23:25:55	33119/33119	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/css/colors/theme-skin-color-set-1.css	C:/My%20Web%20Sites/Naoual/kodesolution.com/html/2017/seniorpress-html/demo/css/colors/theme-skin-color-set-1.css	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
23:25:55	85578/85578	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/js/jquery-2.2.4.min.js	C:/My%20Web%20Sites/Naoual/kodesolution.com/html/2017/seniorpress-html/demo/js/jquery-2.2.4.min.js	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
23:25:56	240422/240422	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/js/jquery-ui.min.js	C:/My%20Web%20Sites/Naoual/kodesolution.com/html/2017/seniorpress-html/demo/js/jquery-ui.min.js	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
23:25:56	36868/36868	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/js/bootstrap.min.js	C:/My%20Web%20Sites/Naoual/kodesolution.com/html/2017/seniorpress-html/demo/js/bootstrap.min.js	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
23:25:57	104628/104628	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/js/revolution-slider/js/jquery.themepunch.tools.min.js	C:/My%20Web%20Sites/Naoual/kodesolution.com/html/2017/seniorpress-html/demo/js/revolution-slider/js/jquery.themepunch.tools.min.js	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
23:25:57	709665/709665	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/js/jquery-plugin-collection.js	C:/My%20Web%20Sites/Naoual/kodesolution.com/html/2017/seniorpress-html/demo/js/jquery-plugin-collection.js	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
23:25:57	54910/54910	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/js/revolution-slider/js/jquery.themepunch.revolution.min.js	C:/My%20Web%20Sites/Naoual/kodesolution.com/html/2017/seniorpress-html/demo/js/revolution-slider/js/jquery.themepunch.revolution.min.js	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
23:25:57	20031/20031	---M--	200	added ('OK')	image/gif	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/images/preloaders/5.gif	C:/My%20Web%20Sites/Naoual/kodesolution.com/html/2017/seniorpress-html/demo/images/preloaders/5.gif	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
23:25:58	3879/3879	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/images/logo-wide.png	C:/My%20Web%20Sites/Naoual/kodesolution.com/html/2017/seniorpress-html/demo/images/logo-wide.png	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
23:25:58	132313/132313	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout2.html	C:/My%20Web%20Sites/Naoual/kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout2.html	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
23:25:58	121707/121707	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout3.html	C:/My%20Web%20Sites/Naoual/kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout3.html	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
23:25:58	93556/93556	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/index-sp-layout1.html	C:/My%20Web%20Sites/Naoual/kodesolution.com/html/2017/seniorpress-html/demo/index-sp-layout1.html	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
